ratio	nbins	tau	mass_g	g_massdensity
1.3	53	0.5	2.738508e-13	3.139031e-37
1.3	53	0.5	3.560061e-13	1.772410e-38
1.3	53	0.5	4.628079e-13	9.725447e-40
1.3	53	0.5	6.016503e-13	5.190541e-41
1.3	53	0.5	7.821454e-13	2.696684e-42
1.3	53	0.5	1.016789e-12	1.364886e-43
1.3	53	0.5	1.321826e-12	7.074989e-45
1.3	53	1.0	1.570796e-18	7.765732e-11
1.3	53	1.0	2.042035e-18	9.441284e-11
1.3	53	1.0	2.654646e-18	1.125843e-10
1.3	53	1.0	3.451040e-18	1.315991e-10
1.3	53	1.0	4.486351e-18	1.498256e-10
1.3	53	1.0	5.832257e-18	1.652987e-10
1.3	53	1.0	7.581934e-18	1.760823e-10
1.3	53	1.0	9.856514e-18	1.802015e-10
1.3	53	1.0	1.281347e-17	1.770858e-10
1.3	53	1.0	1.665751e-17	1.674239e-10
1.3	53	1.0	2.165476e-17	1.530238e-10
1.3	53	1.0	2.815119e-17	1.360590e-10
1.3	53	1.0	3.659655e-17	1.183149e-10
1.3	53	1.0	4.757551e-17	1.009000e-10
1.3	53	1.0	6.184816e-17	8.439547e-11
1.3	53	1.0	8.040261e-17	6.910259e-11
1.3	53	1.0	1.045234e-16	5.520269e-11
1.3	53	1.0	1.358804e-16	4.282666e-11
1.3	53	1.0	1.766445e-16	3.207728e-11
1.3	53	1.0	2.296379e-16	2.302789e-11
1.3	53	1.0	2.985293e-16	1.570716e-11
1.3	53	1.0	3.880881e-16	1.007653e-11
1.3	53	1.0	5.045145e-16	6.010354e-12
1.3	53	1.0	6.558688e-16	3.291750e-12
1.3	53	1.0	8.526295e-16	1.634024e-12
1.3	53	1.0	1.108418e-15	7.260421e-13
1.3	53	1.0	1.440944e-15	2.856716e-13
1.3	53	1.0	1.873227e-15	9.880701e-14
1.3	53	1.0	2.435195e-15	2.997769e-14
1.3	53	1.0	3.165753e-15	8.013699e-15
1.3	53	1.0	4.115480e-15	1.908664e-15
1.3	53	1.0	5.350123e-15	4.115199e-16
1.3	53	1.0	6.955160e-15	8.169945e-17
1.3	53	1.0	9.041709e-15	1.515571e-17
1.3	53	1.0	1.175422e-14	2.654963e-18
1.3	53	1.0	1.528049e-14	4.422348e-19
1.3	53	1.0	1.986463e-14	7.035166e-20
1.3	53	1.0	2.582402e-14	1.072110e-20
1.3	53	1.0	3.357123e-14	1.568730e-21
1.3	53	1.0	4.364260e-14	2.208128e-22
1.3	53	1.0	5.673538e-14	2.994854e-23
1.3	53	1.0	7.375599e-14	3.919475e-24
1.3	53	1.0	9.588279e-14	4.956114e-25
1.3	53	1.0	1.246476e-13	6.062112e-26
1.3	53	1.0	1.620419e-13	7.180261e-27
1.3	53	1.0	2.106545e-13	8.243623e-28
1.3	53	1.0	2.738508e-13	9.182365e-29
1.3	53	1.0	3.560061e-13	9.931614e-30
1.3	53	1.0	4.628079e-13	1.043905e-30
1.3	53	1.0	6.016503e-13	1.067099e-31
1.3	53	1.0	7.821454e-13	1.061596e-32
1.3	53	1.0	1.016789e-12	1.028530e-33
1.3	53	1.0	1.321826e-12	1.069283e-34
1.3	53	2.0	1.570796e-18	2.774246e-11
1.3	53	2.0	2.042035e-18	3.343138e-11
1.3	53	2.0	2.654646e-18	3.942084e-11
1.3	53	2.0	3.451040e-18	4.550904e-11
1.3	53	2.0	4.486351e-18	5.108018e-11
1.3	53	2.0	5.832257e-18	5.547962e-11
1.3	53	2.0	7.581934e-18	5.817270e-11
1.3	53	2.0	9.856514e-18	5.866388e-11
1.3	53	2.0	1.281347e-17	5.702595e-11
1.3	53	2.0	1.665751e-17	5.368921e-11
1.3	53	2.0	2.165476e-17	4.930886e-11
1.3	53	2.0	2.815119e-17	4.450587e-11
1.3	53	2.0	3.659655e-17	3.970344e-11
1.3	53	2.0	4.757551e-17	3.512347e-11
1.3	53	2.0	6.184816e-17	3.086271e-11
1.3	53	2.0	8.040261e-17	2.695515e-11
1.3	53	2.0	1.045234e-16	2.340459e-11
1.3	53	2.0	1.358804e-16	2.019926e-11
1.3	53	2.0	1.766445e-16	1.731905e-11
1.3	53	2.0	2.296379e-16	1.473993e-11
1.3	53	2.0	2.985293e-16	1.243694e-11
1.3	53	2.0	3.880881e-16	1.038629e-11
1.3	53	2.0	5.045145e-16	8.566612e-12
1.3	53	2.0	6.558688e-16	6.959720e-12
1.3	53	2.0	8.526295e-16	5.550841e-12
1.3	53	2.0	1.108418e-15	4.328481e-12
1.3	53	2.0	1.440944e-15	3.283804e-12
1.3	53	2.0	1.873227e-15	2.409507e-12
1.3	53	2.0	2.435195e-15	1.698218e-12
1.3	53	2.0	3.165753e-15	1.140603e-12
1.3	53	2.0	4.115480e-15	7.236163e-13
1.3	53	2.0	5.350123e-15	4.295044e-13
1.3	53	2.0	6.955160e-15	2.361855e-13
1.3	53	2.0	9.041709e-15	1.192051e-13
1.3	53	2.0	1.175422e-14	5.478092e-14
1.3	53	2.0	1.528049e-14	2.279835e-14
1.3	53	2.0	1.986463e-14	8.577519e-15
1.3	53	2.0	2.582402e-14	2.925238e-15
1.3	53	2.0	3.357123e-14	9.106201e-16
1.3	53	2.0	4.364260e-14	2.614266e-16
1.3	53	2.0	5.673538e-14	7.003785e-17
1.3	53	2.0	7.375599e-14	1.771341e-17
1.3	53	2.0	9.588279e-14	4.271242e-18
1.3	53	2.0	1.246476e-13	9.894244e-19
1.3	53	2.0	1.620419e-13	2.213608e-19
1.3	53	2.0	2.106545e-13	4.800166e-20
1.3	53	2.0	2.738508e-13	1.011317e-20
1.3	53	2.0	3.560061e-13	2.073598e-21
1.3	53	2.0	4.628079e-13	4.143040e-22
1.3	53	2.0	6.016503e-13	8.074478e-23
1.3	53	2.0	7.821454e-13	1.536327e-23
1.3	53	2.0	1.016789e-12	2.855949e-24
1.3	53	2.0	1.321826e-12	6.306562e-25
